Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Intensity	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
sp|Q9Y3Q3|TMED3_HUMAN;tr|G3V1J9|G3V1J9_HUMAN;tr|F5H4M7|F5H4M7_HUMAN;sp|Q9Y3Q3-2|TMED3_HUMAN	sp|Q9Y3Q3|TMED3_HUMAN	4;1;1;1	4;1;1;1	4;1;1;1	sp|Q9Y3Q3|TMED3_HUMAN Transmembrane emp24 domain-containing protein 3 OS=Homo sapiens GN=TMED3 PE=1 SV=1	4	4	4	4	22.1	22.1	22.1	24.777	217	217;146;155;173	0	49.06	545540000	6				2691	384;14594;18292;19889	True;True;True;True	388;14830;18584;20208	449;17621;17622;22072;22073;24037	500;19762;19763;24750;24751;26957	500;19763;24750;26957		
sp|Q9Y3R5-2|DOP2_HUMAN;sp|Q9Y3R5|DOP2_HUMAN	sp|Q9Y3R5-2|DOP2_HUMAN;sp|Q9Y3R5|DOP2_HUMAN	1;1	1;1	1;1	sp|Q9Y3R5-2|DOP2_HUMAN Isoform 2 of Protein dopey-2 OS=Homo sapiens GN=DOPEY2;sp|Q9Y3R5|DOP2_HUMAN Protein dopey-2 OS=Homo sapiens GN=DOPEY2 PE=1 SV=5	2	1	1	1	0.6	0.6	0.6	257.39	2291	2291;2298	0.0012195	7.6307	22997000	2				2692	2878	True	2917	3416;3417	3862;3863	3863		
sp|Q9Y3T9|NOC2L_HUMAN	sp|Q9Y3T9|NOC2L_HUMAN	1	1	1	sp|Q9Y3T9|NOC2L_HUMAN Nucleolar complex protein 2 homolog OS=Homo sapiens GN=NOC2L PE=1 SV=4	1	1	1	1	1.3	1.3	1.3	84.918	749	749	0.0063504	6.1353	74281000	1				2693	10824	True	10977	13112	14755	14755		
sp|Q9Y3U8|RL36_HUMAN;tr|J3QSB5|J3QSB5_HUMAN;tr|J3KTD3|J3KTD3_HUMAN	sp|Q9Y3U8|RL36_HUMAN	5;2;1	5;2;1	5;2;1	sp|Q9Y3U8|RL36_HUMAN 60S ribosomal protein L36 OS=Homo sapiens GN=RPL36 PE=1 SV=3	3	5	5	5	30.5	30.5	30.5	12.254	105	105;94;68	0	40.144	1723900000	6				2694	3663;4768;10069;15375;20885	True;True;True;True;True	3711;4830;10213;15615;21219	4364;5671;12207;12208;18520;25238	4919;6378;13752;13753;20758;28318	4919;6378;13753;20758;28318		
sp|Q9Y3Y2-4|CHTOP_HUMAN;tr|X6R700|X6R700_HUMAN;sp|Q9Y3Y2|CHTOP_HUMAN;sp|Q9Y3Y2-3|CHTOP_HUMAN	sp|Q9Y3Y2-4|CHTOP_HUMAN;tr|X6R700|X6R700_HUMAN;sp|Q9Y3Y2|CHTOP_HUMAN;sp|Q9Y3Y2-3|CHTOP_HUMAN	3;3;3;3	3;3;3;3	3;3;3;3	sp|Q9Y3Y2-4|CHTOP_HUMAN Isoform 3 of Chromatin target of PRMT1 protein OS=Homo sapiens GN=CHTOP;tr|X6R700|X6R700_HUMAN Chromatin target of PRMT1 protein OS=Homo sapiens GN=CHTOP PE=4 SV=1;sp|Q9Y3Y2|CHTOP_HUMAN Chromatin target of PRMT1 protein OS=Homo sapi	4	3	3	3	17.8	17.8	17.8	21.918	202	202;223;248;249	0	29.768	81151000	3				2695	1605;4523;13807	True;True;True	1628;4579;14026	1907;5379;16700	2160;6066;18749	2160;6066;18749		
sp|Q9Y3Z3-4|SAMH1_HUMAN;sp|Q9Y3Z3|SAMH1_HUMAN;sp|Q9Y3Z3-2|SAMH1_HUMAN;sp|Q9Y3Z3-3|SAMH1_HUMAN;tr|A6NDZ3|A6NDZ3_HUMAN	sp|Q9Y3Z3-4|SAMH1_HUMAN;sp|Q9Y3Z3|SAMH1_HUMAN;sp|Q9Y3Z3-2|SAMH1_HUMAN;sp|Q9Y3Z3-3|SAMH1_HUMAN	7;7;6;4;3	7;7;6;4;3	7;7;6;4;3	sp|Q9Y3Z3-4|SAMH1_HUMAN Isoform 4 of Deoxynucleoside triphosphate triphosphohydrolase SAMHD1 OS=Homo sapiens GN=SAMHD1;sp|Q9Y3Z3|SAMH1_HUMAN Deoxynucleoside triphosphate triphosphohydrolase SAMHD1 OS=Homo sapiens GN=SAMHD1 PE=1 SV=2;sp|Q9Y3Z3-2|SAMH1_HUMAN	5	7	7	7	17.3	17.3	17.3	68.121	591	591;626;602;556;170	0	46.108	384960000	7				2696	2726;4897;5104;13662;16058;19148;21038	True;True;True;True;True;True;True	2765;4960;5175;13881;16311;19460;21373	3229;5818;6065;16526;19349;23150;23151;25418	3652;6537;6812;18555;21684;25982;25983;28517	3652;6537;6812;18555;21684;25982;28517		
sp|Q9Y446|PKP3_HUMAN;sp|Q9Y446-2|PKP3_HUMAN;tr|E9PKC4|E9PKC4_HUMAN;tr|E9PQ15|E9PQ15_HUMAN;tr|E9PJR7|E9PJR7_HUMAN;tr|E9PRW6|E9PRW6_HUMAN;tr|E9PK71|E9PK71_HUMAN;tr|H0YEY5|H0YEY5_HUMAN	sp|Q9Y446|PKP3_HUMAN;sp|Q9Y446-2|PKP3_HUMAN	12;12;3;2;2;2;2;1	12;12;3;2;2;2;2;1	12;12;3;2;2;2;2;1	sp|Q9Y446|PKP3_HUMAN Plakophilin-3 OS=Homo sapiens GN=PKP3 PE=1 SV=1;sp|Q9Y446-2|PKP3_HUMAN Isoform PKP3b of Plakophilin-3 OS=Homo sapiens GN=PKP3	8	12	12	12	20.7	20.7	20.7	87.081	797	797;812;197;76;120;156;212;115	0	104.17	531530000	14				2697	204;362;3531;7758;10407;10850;11631;13790;14295;16499;20780;20969	True;True;True;True;True;True;True;True;True;True;True;True	205;365;3577;7870;10554;11004;11792;14009;14529;16756;21111;21303	230;421;4198;4199;9356;12621;13143;13144;14099;16680;17279;19896;25111;25333	256;469;4737;4738;10565;14200;14793;14794;15883;18726;19386;22310;28172;28419	256;469;4737;10565;14200;14794;15883;18726;19386;22310;28172;28419		
tr|E9PJ90|E9PJ90_HUMAN;tr|E9PN23|E9PN23_HUMAN;tr|G5E991|G5E991_HUMAN;tr|E9PMN1|E9PMN1_HUMAN;tr|E9PLR4|E9PLR4_HUMAN;sp|Q9Y450-2|HBS1L_HUMAN;sp|Q9Y450-4|HBS1L_HUMAN;sp|Q9Y450|HBS1L_HUMAN	tr|E9PJ90|E9PJ90_HUMAN;tr|E9PN23|E9PN23_HUMAN;tr|G5E991|G5E991_HUMAN;tr|E9PMN1|E9PMN1_HUMAN;tr|E9PLR4|E9PLR4_HUMAN;sp|Q9Y450-2|HBS1L_HUMAN;sp|Q9Y450-4|HBS1L_HUMAN;sp|Q9Y450|HBS1L_HUMAN	1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1	tr|E9PJ90|E9PJ90_HUMAN HBS1-like protein OS=Homo sapiens GN=HBS1L PE=1 SV=1;tr|E9PN23|E9PN23_HUMAN HBS1-like protein (Fragment) OS=Homo sapiens GN=HBS1L PE=1 SV=1;tr|G5E991|G5E991_HUMAN HBS1-like (S. cerevisiae), isoform CRA_e OS=Homo sapiens GN=HBS1L PE=1	8	1	1	1	9.3	9.3	9.3	13.503	118	118;141;147;167;215;632;642;684	0.0019554	6.8131	16986000	1				2698	2751	True	2790	3260	3688	3688		
sp|Q9Y478|AAKB1_HUMAN	sp|Q9Y478|AAKB1_HUMAN	1	1	1	sp|Q9Y478|AAKB1_HUMAN 5-AMP-activated protein kinase subunit beta-1 OS=Homo sapiens GN=PRKAB1 PE=1 SV=4	1	1	1	1	11.1	11.1	11.1	30.382	270	270	0.0012136	7.5625	23029000	1				2699	5171	True	5242	6141	6894	6894		
tr|Q5TCU6|Q5TCU6_HUMAN;sp|Q9Y490|TLN1_HUMAN	tr|Q5TCU6|Q5TCU6_HUMAN;sp|Q9Y490|TLN1_HUMAN	26;26	26;26	24;24	tr|Q5TCU6|Q5TCU6_HUMAN Talin-1 OS=Homo sapiens GN=TLN1 PE=1 SV=1;sp|Q9Y490|TLN1_HUMAN Talin-1 OS=Homo sapiens GN=TLN1 PE=1 SV=3	2	26	26	24	15.2	15.2	14.2	258.08	2429	2429;2541	0	202.28	1076300000	27				2700	376;619;721;963;1155;1530;2716;4762;5851;7032;7756;8271;8515;9466;10426;10908;11378;13857;15219;15788;17729;17910;18478;19318;19846;20008	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	379;627;731;977;1172;1552;2755;4824;5935;7131;7868;8388;8634;9604;10574;11062;11537;14076;15459;16036;18011;18199;18777;19631;20165;20327	436;726;843;1130;1363;1824;3218;5665;6968;8419;9354;9961;10266;11422;12646;13220;13802;16757;18342;19036;21391;21629;22318;23358;23984;24177	485;805;938;1262;1525;2069;3639;6372;7827;9458;10563;11252;11253;11594;12885;14232;14888;15551;18814;20552;21339;24001;24263;25043;26207;26903;26904;27116	485;805;938;1262;1525;2069;3639;6372;7827;9458;10563;11252;11594;12885;14232;14888;15551;18814;20552;21339;24001;24263;25043;26207;26904;27116		
sp|Q9Y4I1-2|MYO5A_HUMAN;tr|F8WE88|F8WE88_HUMAN;tr|G3V394|G3V394_HUMAN;sp|Q9Y4I1|MYO5A_HUMAN;tr|F8W6H6|F8W6H6_HUMAN;sp|Q9Y4I1-3|MYO5A_HUMAN;sp|Q9ULV0|MYO5B_HUMAN	sp|Q9Y4I1-2|MYO5A_HUMAN;tr|F8WE88|F8WE88_HUMAN;tr|G3V394|G3V394_HUMAN;sp|Q9Y4I1|MYO5A_HUMAN;tr|F8W6H6|F8W6H6_HUMAN;sp|Q9Y4I1-3|MYO5A_HUMAN;sp|Q9ULV0|MYO5B_HUMAN	2;2;2;2;2;2;1	2;2;2;2;2;2;1	2;2;2;2;2;2;1	sp|Q9Y4I1-2|MYO5A_HUMAN Isoform 2 of Unconventional myosin-Va OS=Homo sapiens GN=MYO5A;tr|F8WE88|F8WE88_HUMAN Unconventional myosin-Va OS=Homo sapiens GN=MYO5A PE=1 SV=1;tr|G3V394|G3V394_HUMAN Unconventional myosin-Va OS=Homo sapiens GN=MYO5A PE=1 SV=1;sp|	7	2	2	2	1.1	1.1	1.1	212.27	1828	1828;1852;1853;1855;1880;1880;1848	0	12.635	109510000	2				2701	10996;15700	True;True	11152;15947	13332;18939	15021;21228	15021;21228		
tr|K7ER73|K7ER73_HUMAN;sp|Q9Y4J8-9|DTNA_HUMAN;sp|Q9Y4J8-7|DTNA_HUMAN;sp|Q9Y4J8-16|DTNA_HUMAN;sp|Q9Y4J8-5|DTNA_HUMAN;sp|Q9Y4J8-4|DTNA_HUMAN;sp|Q9Y4J8-3|DTNA_HUMAN;sp|Q9Y4J8-13|DTNA_HUMAN;sp|Q9Y4J8-2|DTNA_HUMAN;sp|Q9Y4J8-14|DTNA_HUMAN;sp|Q9Y4J8-15|DTNA_HUMAN;sp|Q9Y4J8|DTNA_HUMAN;tr|F8WE01|F8WE01_HUMAN	tr|K7ER73|K7ER73_HUMAN;sp|Q9Y4J8-9|DTNA_HUMAN;sp|Q9Y4J8-7|DTNA_HUMAN;sp|Q9Y4J8-16|DTNA_HUMAN;sp|Q9Y4J8-5|DTNA_HUMAN;sp|Q9Y4J8-4|DTNA_HUMAN;sp|Q9Y4J8-3|DTNA_HUMAN;sp|Q9Y4J8-13|DTNA_HUMAN;sp|Q9Y4J8-2|DTNA_HUMAN;sp|Q9Y4J8-14|DTNA_HUMAN;sp|Q9Y4J8-15|DTNA_HUMAN;sp|Q9Y4J8|DTNA_HUMAN;tr|F8WE01|F8WE01_HUMAN	1;1;1;1;1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1;1;1;1;1	tr|K7ER73|K7ER73_HUMAN Dystrobrevin alpha (Fragment) OS=Homo sapiens GN=DTNA PE=4 SV=1;sp|Q9Y4J8-9|DTNA_HUMAN Isoform 9 of Dystrobrevin alpha OS=Homo sapiens GN=DTNA;sp|Q9Y4J8-7|DTNA_HUMAN Isoform 7 of Dystrobrevin alpha OS=Homo sapiens GN=DTNA;sp|Q9Y4J8-1	13	1	1	1	13.5	13.5	13.5	11.844	104	104;371;374;510;513;567;570;683;686;690;724;743;744	0.0070632	6.0779	5914200	2				2702	6312	True	6407	7539	8466;8467	8466		
sp|Q9Y4L1|HYOU1_HUMAN;tr|E9PL22|E9PL22_HUMAN;tr|E9PJ21|E9PJ21_HUMAN;tr|B7Z909|B7Z909_HUMAN;tr|J3KTF1|J3KTF1_HUMAN;tr|J3QL06|J3QL06_HUMAN;tr|J3QQH7|J3QQH7_HUMAN;tr|J3QLE9|J3QLE9_HUMAN;tr|J3KSJ2|J3KSJ2_HUMAN;tr|J3KT27|J3KT27_HUMAN	sp|Q9Y4L1|HYOU1_HUMAN;tr|E9PL22|E9PL22_HUMAN;tr|E9PJ21|E9PJ21_HUMAN;tr|B7Z909|B7Z909_HUMAN	34;32;21;20;7;6;3;3;1;1	34;32;21;20;7;6;3;3;1;1	34;32;21;20;7;6;3;3;1;1	sp|Q9Y4L1|HYOU1_HUMAN Hypoxia up-regulated protein 1 OS=Homo sapiens GN=HYOU1 PE=1 SV=1;tr|E9PL22|E9PL22_HUMAN Hypoxia up-regulated protein 1 OS=Homo sapiens GN=HYOU1 PE=1 SV=1;tr|E9PJ21|E9PJ21_HUMAN Hypoxia up-regulated protein 1 (Fragment) OS=Homo sapien	10	34	34	34	42.4	42.4	42.4	111.33	999	999;937;656;559;224;211;149;154;92;102	0	323.31	6608300000	54				2703	155;371;372;1854;2377;4422;4785;7035;9783;10366;10527;11043;11248;11866;12138;12144;12717;12718;13758;14515;15348;15920;16364;16365;17776;18311;18496;18749;18808;19409;19718;19975;20567;20958	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	156;374;375;1879;2411;4477;4848;7134;9925;10513;10677;11199;11406;12033;12308;12314;12892;12893;13977;14751;15588;16172;16620;16621;18059;18604;18795;19055;19114;19722;20036;20294;20896;21292	176;430;431;432;2191;2818;5262;5691;5692;8422;11844;12572;12760;13381;13628;14373;14697;14698;14706;14707;15378;15379;16645;16646;17527;18485;19195;19732;19733;19734;19735;21446;22097;22341;22342;22657;22725;22726;23464;23465;23829;24135;24853;25320	192;193;479;480;481;2469;3189;3190;3191;3192;5936;6398;6399;9461;13347;14145;14353;15076;15347;15348;16189;16544;16545;16553;16554;16555;17298;17299;18689;18690;19663;20720;21517;22129;22130;22131;22132;22133;24059;24781;24782;25072;25073;25074;25075;25427;25503;25504;26325;26326;26728;27072;27892;28406	193;479;480;2469;3192;5936;6399;9461;13347;14145;14353;15076;15347;16189;16544;16554;17298;17299;18689;19663;20720;21517;22129;22133;24059;24781;25072;25427;25503;26325;26728;27072;27892;28406		
tr|E9PF19|E9PF19_HUMAN;sp|Q9Y4P3|TBL2_HUMAN;tr|F8WDI9|F8WDI9_HUMAN;tr|C9JVF0|C9JVF0_HUMAN;tr|F8WCR3|F8WCR3_HUMAN	tr|E9PF19|E9PF19_HUMAN;sp|Q9Y4P3|TBL2_HUMAN;tr|F8WDI9|F8WDI9_HUMAN;tr|C9JVF0|C9JVF0_HUMAN	3;3;2;2;1	3;3;2;2;1	3;3;2;2;1	tr|E9PF19|E9PF19_HUMAN Transducin beta-like protein 2 OS=Homo sapiens GN=TBL2 PE=1 SV=1;sp|Q9Y4P3|TBL2_HUMAN Transducin beta-like protein 2 OS=Homo sapiens GN=TBL2 PE=1 SV=1;tr|F8WDI9|F8WDI9_HUMAN Transducin beta-like protein 2 OS=Homo sapiens GN=TBL2 PE=4	5	3	3	3	8	8	8	45.935	411	411;447;176;270;107	0	32.809	30205000	3				2704	4087;12071;20742	True;True;True	4142;12240;21073	4877;14617;25067	5498;16458;28127	5498;16458;28127		
sp|Q9Y4W6|AFG32_HUMAN;tr|B7Z651|B7Z651_HUMAN;tr|E9PHW9|E9PHW9_HUMAN;sp|Q01484-5|ANK2_HUMAN;sp|Q01484-2|ANK2_HUMAN;tr|I6L894|I6L894_HUMAN;sp|Q01484|ANK2_HUMAN	sp|Q9Y4W6|AFG32_HUMAN	4;1;1;1;1;1;1	4;1;1;1;1;1;1	4;1;1;1;1;1;1	sp|Q9Y4W6|AFG32_HUMAN AFG3-like protein 2 OS=Homo sapiens GN=AFG3L2 PE=1 SV=2	7	4	4	4	5.8	5.8	5.8	88.583	797	797;1114;1730;1863;1872;3924;3957	0	30.866	120670000	4				2705	4816;7321;18502;18996	True;True;True;True	4879;7424;18802;19305	5726;8769;22350;22953	6435;9882;25083;25766	6435;9882;25083;25766		
tr|B8ZZF8|B8ZZF8_HUMAN;sp|Q9Y4Y9|LSM5_HUMAN	tr|B8ZZF8|B8ZZF8_HUMAN;sp|Q9Y4Y9|LSM5_HUMAN	1;1	1;1	1;1	tr|B8ZZF8|B8ZZF8_HUMAN U6 snRNA-associated Sm-like protein LSm5 OS=Homo sapiens GN=LSM5 PE=1 SV=1;sp|Q9Y4Y9|LSM5_HUMAN U6 snRNA-associated Sm-like protein LSm5 OS=Homo sapiens GN=LSM5 PE=1 SV=3	2	1	1	1	29.7	29.7	29.7	7.0202	64	64;91	0.0012782	9.4431	48703000	1				2706	151	True	152	171	187	187		
sp|Q9Y4Z0|LSM4_HUMAN;tr|V9GZ56|V9GZ56_HUMAN;tr|U3KQS7|U3KQS7_HUMAN;tr|U3KQK1|U3KQK1_HUMAN;tr|M0QXB0|M0QXB0_HUMAN	sp|Q9Y4Z0|LSM4_HUMAN;tr|V9GZ56|V9GZ56_HUMAN;tr|U3KQS7|U3KQS7_HUMAN;tr|U3KQK1|U3KQK1_HUMAN;tr|M0QXB0|M0QXB0_HUMAN	4;4;3;3;2	4;4;3;3;2	4;4;3;3;2	sp|Q9Y4Z0|LSM4_HUMAN U6 snRNA-associated Sm-like protein LSm4 OS=Homo sapiens GN=LSM4 PE=1 SV=1;tr|V9GZ56|V9GZ56_HUMAN U6 snRNA-associated Sm-like protein LSm4 (Fragment) OS=Homo sapiens GN=LSM4 PE=1 SV=1;tr|U3KQS7|U3KQS7_HUMAN U6 snRNA-associated Sm-like 	5	4	4	4	25.2	25.2	25.2	15.35	139	139;238;109;125;69	0	28.517	240230000	4				2707	4808;8781;8782;17202	True;True;True;True	4871;8908;8909;17475	5717;10586;10587;10588;20731	6425;11944;11945;11946;23247	6425;11944;11946;23247		
sp|Q9Y508-2|RN114_HUMAN;sp|Q9Y508|RN114_HUMAN	sp|Q9Y508-2|RN114_HUMAN;sp|Q9Y508|RN114_HUMAN	4;4	4;4	4;4	sp|Q9Y508-2|RN114_HUMAN Isoform 2 of E3 ubiquitin-protein ligase RNF114 OS=Homo sapiens GN=RNF114;sp|Q9Y508|RN114_HUMAN E3 ubiquitin-protein ligase RNF114 OS=Homo sapiens GN=RNF114 PE=1 SV=1	2	4	4	4	31.4	31.4	31.4	21.004	191	191;228	0	26.927	139000000	6				2708	5704;10825;16231;20918	True;True;True;True	5784;10978;16486;21252	6797;13113;19562;25276	7626;14756;21935;21936;21937;28359	7626;14756;21935;28359		
sp|Q9Y512|SAM50_HUMAN;tr|A8MZI2|A8MZI2_HUMAN	sp|Q9Y512|SAM50_HUMAN	3;1	3;1	3;1	sp|Q9Y512|SAM50_HUMAN Sorting and assembly machinery component 50 homolog OS=Homo sapiens GN=SAMM50 PE=1 SV=3	2	3	3	3	8.3	8.3	8.3	51.976	469	469;259	0	19.218	242460000	4				2709	3277;5834;17685	True;True;True	3323;5918;17966	3889;6949;21332;21333	4395;7807;23934;23935	4395;7807;23934		
sp|Q9Y570|PPME1_HUMAN;sp|Q9Y570-2|PPME1_HUMAN;sp|Q9Y570-4|PPME1_HUMAN;sp|Q9Y570-3|PPME1_HUMAN	sp|Q9Y570|PPME1_HUMAN;sp|Q9Y570-2|PPME1_HUMAN;sp|Q9Y570-4|PPME1_HUMAN	8;7;7;3	8;7;7;3	8;7;7;3	sp|Q9Y570|PPME1_HUMAN Protein phosphatase methylesterase 1 OS=Homo sapiens GN=PPME1 PE=1 SV=3;sp|Q9Y570-2|PPME1_HUMAN Isoform 2 of Protein phosphatase methylesterase 1 OS=Homo sapiens GN=PPME1;sp|Q9Y570-4|PPME1_HUMAN Isoform 4 of Protein phosphatase methyl	4	8	8	8	30.3	30.3	30.3	42.315	386	386;199;400;161	0	55.097	285070000	7				2710	5594;9755;11570;11571;16320;16407;19220;21062	True;True;True;True;True;True;True;True	5672;9895;11731;11732;16575;16664;19532;21397	6664;11806;14033;14034;19668;19785;23244;25446	7472;13307;15812;15813;22057;22185;26078;28545	7472;13307;15812;15813;22057;22185;26078;28545		
tr|F5H606|F5H606_HUMAN;tr|I3L521|I3L521_HUMAN;tr|F5GXV8|F5GXV8_HUMAN;tr|F5GY08|F5GY08_HUMAN;sp|Q9Y580|RBM7_HUMAN;tr|J3KPD3|J3KPD3_HUMAN	tr|F5H606|F5H606_HUMAN;tr|I3L521|I3L521_HUMAN;tr|F5GXV8|F5GXV8_HUMAN;tr|F5GY08|F5GY08_HUMAN;sp|Q9Y580|RBM7_HUMAN;tr|J3KPD3|J3KPD3_HUMAN	1;1;1;1;1;1	1;1;1;1;1;1	1;1;1;1;1;1	tr|F5H606|F5H606_HUMAN RNA-binding protein 7 OS=Homo sapiens GN=RBM7 PE=4 SV=1;tr|I3L521|I3L521_HUMAN Uncharacterized protein (Fragment) OS=Homo sapiens PE=4 SV=1;tr|F5GXV8|F5GXV8_HUMAN RNA-binding protein 7 OS=Homo sapiens GN=RBM7 PE=4 SV=1;tr|F5GY08|F5GY	6	1	1	1	14.6	14.6	14.6	13.704	123	123;148;149;220;266;267	0.0012464	8.1441	20802000	1				2711	19902	True	20221	24051	26971	26971		
sp|Q9Y5A9|YTHD2_HUMAN;sp|Q9Y5A9-2|YTHD2_HUMAN;tr|S4R3V3|S4R3V3_HUMAN;tr|S4R3J8|S4R3J8_HUMAN	sp|Q9Y5A9|YTHD2_HUMAN;sp|Q9Y5A9-2|YTHD2_HUMAN	5;4;2;1	3;2;2;1	3;2;2;1	sp|Q9Y5A9|YTHD2_HUMAN YTH domain-containing family protein 2 OS=Homo sapiens GN=YTHDF2 PE=1 SV=2;sp|Q9Y5A9-2|YTHD2_HUMAN Isoform 2 of YTH domain-containing family protein 2 OS=Homo sapiens GN=YTHDF2	4	5	3	3	8.6	5.9	5.9	62.333	579	579;529;241;200	0	18.082	78851000	3				2712	2464;10744;11068;17116;19736	False;True;True;False;True	2500;10895;11224;17386;20054	2919;13018;13410;20623;20624;23849	3306;14647;15110;23124;23125;26749	3306;14647;15110;23124;26749		
sp|Q9Y5B9|SP16H_HUMAN;tr|G3V5A4|G3V5A4_HUMAN;tr|G3V401|G3V401_HUMAN;tr|G3V2X0|G3V2X0_HUMAN	sp|Q9Y5B9|SP16H_HUMAN	9;1;1;1	9;1;1;1	9;1;1;1	sp|Q9Y5B9|SP16H_HUMAN FACT complex subunit SPT16 OS=Homo sapiens GN=SUPT16H PE=1 SV=1	4	9	9	9	11.1	11.1	11.1	119.91	1047	1047;66;81;83	0	75.749	326290000	9				2713	197;1330;1926;7658;7979;7980;14242;19494;20505	True;True;True;True;True;True;True;True;True	198;1350;1951;7769;8095;8096;14475;19807;20834	223;1587;2275;9208;9622;9623;17211;23559;24782	248;1788;2559;10375;10873;10874;19309;26424;27810	248;1788;2559;10375;10873;10874;19309;26424;27810		
tr|F2Z2B0|F2Z2B0_HUMAN;sp|Q9Y5J6|T10B_HUMAN	tr|F2Z2B0|F2Z2B0_HUMAN;sp|Q9Y5J6|T10B_HUMAN	2;2	2;2	2;2	tr|F2Z2B0|F2Z2B0_HUMAN Mitochondrial import inner membrane translocase subunit Tim10 B OS=Homo sapiens GN=TIMM10B PE=1 SV=1;sp|Q9Y5J6|T10B_HUMAN Mitochondrial import inner membrane translocase subunit Tim10 B OS=Homo sapiens GN=TIMM10B PE=1 SV=1	2	2	2	2	22.5	22.5	22.5	7.7277	71	71;103	0	12.1	28070000	2				2714	11219;15120	True;True	11377;15359	13595;18230	15311;20426	15311;20426		
sp|Q9Y5J7|TIM9_HUMAN;tr|G3V2F3|G3V2F3_HUMAN;tr|G3V502|G3V502_HUMAN	sp|Q9Y5J7|TIM9_HUMAN;tr|G3V2F3|G3V2F3_HUMAN;tr|G3V502|G3V502_HUMAN	4;2;2	4;2;2	4;2;2	sp|Q9Y5J7|TIM9_HUMAN Mitochondrial import inner membrane translocase subunit Tim9 OS=Homo sapiens GN=TIMM9 PE=1 SV=1;tr|G3V2F3|G3V2F3_HUMAN Mitochondrial import inner membrane translocase subunit Tim9 (Fragment) OS=Homo sapiens GN=TIMM9 PE=1 SV=1;tr|G3V502	3	4	4	4	56.2	56.2	56.2	10.378	89	89;44;66	0	60.607	439480000	5				2715	3726;4813;5581;12338	True;True;True;True	3775;4876;5659;12509	4438;5723;6651;14926	5000;6431;6432;7459;16794	5000;6432;7459;16794		
sp|Q9Y5K5-2|UCHL5_HUMAN;sp|Q9Y5K5-4|UCHL5_HUMAN;sp|Q9Y5K5-3|UCHL5_HUMAN;sp|Q9Y5K5|UCHL5_HUMAN;tr|Q5LJA5|Q5LJA5_HUMAN;tr|Q5LJA9|Q5LJA9_HUMAN;tr|Q5LJB0|Q5LJB0_HUMAN;tr|B4DW59|B4DW59_HUMAN;tr|B7Z9U9|B7Z9U9_HUMAN;tr|H0Y6Y4|H0Y6Y4_HUMAN;tr|H0Y4E0|H0Y4E0_HUMAN;tr|H0Y4K0|H0Y4K0_HUMAN;tr|H0Y636|H0Y636_HUMAN	sp|Q9Y5K5-2|UCHL5_HUMAN;sp|Q9Y5K5-4|UCHL5_HUMAN;sp|Q9Y5K5-3|UCHL5_HUMAN;sp|Q9Y5K5|UCHL5_HUMAN;tr|Q5LJA5|Q5LJA5_HUMAN;tr|Q5LJA9|Q5LJA9_HUMAN;tr|Q5LJB0|Q5LJB0_HUMAN;tr|B4DW59|B4DW59_HUMAN;tr|B7Z9U9|B7Z9U9_HUMAN;tr|H0Y6Y4|H0Y6Y4_HUMAN	8;8;8;8;8;8;6;4;4;4;3;2;2	8;8;8;8;8;8;6;4;4;4;3;2;2	8;8;8;8;8;8;6;4;4;4;3;2;2	sp|Q9Y5K5-2|UCHL5_HUMAN Isoform 2 of Ubiquitin carboxyl-terminal hydrolase isozyme L5 OS=Homo sapiens GN=UCHL5;sp|Q9Y5K5-4|UCHL5_HUMAN Isoform 4 of Ubiquitin carboxyl-terminal hydrolase isozyme L5 OS=Homo sapiens GN=UCHL5;sp|Q9Y5K5-3|UCHL5_HUMAN Isoform 3 	13	8	8	8	41.8	41.8	41.8	36.079	316	316;326;328;329;355;368;258;192;193;218;183;99;115	0	86.777	501370000	9				2716	3845;5938;6504;7614;10632;11359;15251;17727	True;True;True;True;True;True;True;True	3897;6024;6600;7723;10782;11518;15491;18009	4576;7075;7792;9141;12890;13777;18379;21389	5175;7945;7946;8764;10300;14510;15525;20595;23999	5175;7945;8764;10300;14510;15525;20595;23999		
